CHEMICAL NAME,CHEMICAL ID,CHEMICAL ID W/O DASHES,CHEMICAL ID TYPE,2023 NATIONALLY AGGREGATED PV,2022 NATIONALLY AGGREGATED PV,2021 NATIONALLY AGGREGATED PV,2020 NATIONALLY AGGREGATED PV
"Phosphonic acid, dimethyl ester, polymer with alkyldiols",300324,300324,Accession Number,"<50,000","<50,000","<50,000","<50,000"
"Phosphonic acid, dioctyl ester",1809-14-9,1809149,CASRN,"1,000,000 – <8,500,000","75,000 – <500,000","75,000 – <500,000","75,000 – <500,000"
"Phosphonic acid, diphenyl ester",4712-55-4,4712554,CASRN,"75,000 – <500,000","500,000 – <1,000,000","500,000 – <1,000,000","500,000 – <1,000,000"
"Phosphonic acid, P-(2-chloroethyl)-, bis(2-chloroethyl) ester",6294-34-4,6294344,CASRN,"5,000,000 – <10,000,000","5,000,000 – <10,000,000","5,000,000 – <10,000,000","10,000,000 – <50,000,000"
"Phosphonic acid, P-(2-ethylhexyl)-, mono(2-ethylhexyl) ester",14802-03-0,14802030,CASRN,"50,000 – <250,000","<50,000","<50,000","<50,000"
"Phosphonic acid, P-(hydroxymethyl)-, diethyl ester",3084-40-0,3084400,CASRN,"50,000 – <250,000",0,0,"<50,000"
"Phosphonic acid, P,P'-(1-hydroxyethylidene)bis-",2809-21-4,2809214,CASRN,"7,000,000 – <8,500,000","10,000,000 – <25,000,000","10,000,000 – <25,000,000","10,000,000 – <25,000,000"
"Phosphonic acid, P,P'-(1-hydroxyethylidene)bis-, potassium salt (1:?)",67953-76-8,67953768,CASRN,"100,000 – <250,000","100,000 – <250,000","100,000 – <250,000","100,000 – <250,000"
"Phosphonic acid, P,P'-(1-hydroxyethylidene)bis-, potassium salt (1:2)",21089-06-5,21089065,CASRN,"517,632","430,421","584,892","364,195"
"Phosphonic acid, P,P'-(1-hydroxyethylidene)bis-, potassium salt (1:3)",60376-08-1,60376081,CASRN,"71,083","62,397","63,356","35,208"
"Phosphonic acid, P,P'-(1-hydroxyethylidene)bis-, sodium salt (1:?)",29329-71-3,29329713,CASRN,"1,000,000 – <2,500,000","1,000,000 – <2,500,000","1,000,000 – <2,500,000","1,000,000 – <2,500,000"
"Phosphonic acid, P,P'-(1-hydroxyethylidene)bis-, sodium salt (1:4)",3794-83-0,3794830,CASRN,"415,885","1,636,228","1,608,455","1,788,139"
