CHEMICAL NAME,CHEMICAL ID,CHEMICAL ID W/O DASHES,CHEMICAL ID TYPE,2023 NATIONALLY AGGREGATED PV,2022 NATIONALLY AGGREGATED PV,2021 NATIONALLY AGGREGATED PV,2020 NATIONALLY AGGREGATED PV
"1,2-Diazenedicarboxamide",123-77-3,123773,CASRN,"1,000,000 – <2,500,000","4,000,000 – <5,500,000","2,500,000 – <4,000,000","1,000,000 – <2,500,000"
"1,2-Diazenedicarboxylic acid, 1,2-bis(phenylmethyl) ester",2449-05-0,2449050,CASRN,0,0,0,"15,517"
"1,2-Ethanediamine",107-15-3,107153,CASRN,"100,000,000 – <500,000,000","100,000,000 – <500,000,000","50,000,000 – <100,000,000","100,000,000 – <500,000,000"
"1,2-Ethanediamine, hydriodide (1:2)",5700-49-2,5700492,CASRN,"572,401","633,584","662,535","633,406"
"1,2-Ethanediamine, N1-(1,3-dimethylbutylidene)-N2-[2-[(1,3-dimethylbutylidene)amino]ethyl]-",10595-60-5,10595605,CASRN,"550,000 – <700,000","550,000 – <700,000","50,000 – <250,000","1,000,000 – <2,500,000"
"1,2-Ethanediamine, N1-(1-methylethyl)-N2-[2-[(1-methylethyl)amino]ethyl]-",10507-06-9,10507069,CASRN,"250,000 – <550,000","250,000 – <550,000","<50,000","<50,000"
"1,3,6-Naphthalenetrisulfonic acid, 7-[2-[2-[(aminocarbonyl)amino]-4-[[4-[4-[2-[[4-[[3-[(aminocarbonyl)amino]-4-[2-(3,6,8-trisulfo-2-naphthalenyl)diazenyl]phenyl]amino]-6-chloro-1,3,5-triazin-2-yl]amino]ethyl]-1-piperazinyl]-6-chloro-1,3,5-triazin-2-yl]ami",202667-43-4,202667434,CASRN,0,"30,030",0,0
"1,3,6-Naphthalenetrisulfonic acid, 7-[2-[2-[(aminocarbonyl)amino]-4-[[4-chloro-6-[[4-(ethenylsulfonyl)phenyl]amino]-1,3,5-triazin-2-yl]amino]phenyl]diazenyl]-, sodium salt (1:?)",94158-80-2,94158802,CASRN,"<50,000","<50,000","<50,000","<50,000"
"1,3,6-Naphthalenetrisulfonic acid, 7-[2-[2-[(aminocarbonyl)amino]-4-[[4-chloro-6-[[4-[[2-(sulfooxy)ethyl]sulfonyl]phenyl]amino]-1,3,5-triazin-2-yl]amino]phenyl]diazenyl]-, sodium salt (1:4)",80156-97-4,80156974,CASRN,0,"34,610","37,596","37,227"
"1,3,6-Pyrenetrisulfonic acid, 8-hydroxy-, sodium salt (1:3)",6358-69-6,6358696,CASRN,"178,000","194,000","56,000","40,700"
"1,3-Benzenediamine",108-45-2,108452,CASRN,"10,000,000 – <25,000,000","25,000,000 – <40,000,000","25,000,000 – <40,000,000","10,000,000 – <25,000,000"
"1,3-Benzenediamine, 2-methyl-",823-40-5,823405,CASRN,"50,000 – <250,000","50,000 – <250,000","<50,000","50,000 – <250,000"
"1,3-Benzenediamine, 2-methyl-4,6-bis(methylthio)-",104983-85-9,104983859,CASRN,"250,000 – <550,000","550,000 – <1,000,000","550,000 – <1,000,000","550,000 – <1,000,000"
"1,3-Benzenediamine, 4-(2-phenyldiazenyl)-",495-54-5,495545,CASRN,"40,280","62,910","135,930","164,390"
"1,3-Benzenediamine, 4-(2-phenyldiazenyl)-, hydrochloride (1:1)",532-82-1,532821,CASRN,"<50,000","<50,000","<50,000","<50,000"
"1,3-Benzenediamine, 4,4'-[(4-methyl-1,3-phenylene)bis(2,1-diazenediyl)]bis[6-methyl-",4482-25-1,4482251,CASRN,"477,940","716,920","839,400","1,000,640"
"1,3-Benzenediamine, 4,4'-[1,3-phenylenebis(2,1-diazenediyl)]bis-",1052-38-6,1052386,CASRN,"419,540","204,930","244,810","197,025"
"1,3-Benzenediamine, 4,4'-[1,3-phenylenebis(2,1-diazenediyl)]bis-, acetate (1:2)",104744-50-5,104744505,CASRN,"<50,000","250,000 – <550,000","250,000 – <550,000","550,000 – <1,000,000"
"1,3-Benzenediamine, 4-methyl-",95-80-7,95807,CASRN,"50,000 – <250,000","50,000 – <250,000","<50,000","50,000 – <250,000"
"1,3-Benzenediamine, 4-methyl-2,6-bis(methylthio)-",102093-68-5,102093685,CASRN,"1,000,000 – <5,000,000","1,000,000 – <5,000,000","1,000,000 – <5,000,000","1,000,000 – <5,000,000"
"1,3-Benzenediamine, ar-ethyl-ar-methyl-",68966-84-7,68966847,CASRN,"46,609","36,924","47,719","18,719"
"1,3-Benzenedicarbonitrile",626-17-5,626175,CASRN,0,"81,000","200,000","44,000"
"1,3-Benzenedicarbonyl dichloride",99-63-8,99638,CASRN,"100,000 – <250,000","10,000,000 – <50,000,000","10,000,000 – <50,000,000","10,000,000 – <50,000,000"
"1,3-Benzenedicarboxamide, N1,N3-bis(2,2,6,6-tetramethyl-4-piperidinyl)-",42774-15-2,42774152,CASRN,"233,695","447,837","341,104","180,075"
"1,3-Benzenedicarboxylic acid",121-91-5,121915,CASRN,"100,000,000 – <250,000,000","250,000,000 – <400,000,000","250,000,000 – <400,000,000","250,000,000 – <400,000,000"
"1,3-Benzenedicarboxylic acid, 1,3-di-2-propen-1-yl ester",1087-21-4,1087214,CASRN,"87,259","130,888","174,430","130,910"
"1,3-Benzenedicarboxylic acid, 1,3-dimethyl ester",1459-93-4,1459934,CASRN,"50,000 – <250,000","250,000 – <550,000","550,000 – <1,000,000","1,000,000 – <5,000,000"
"1,3-Benzenedicarboxylic acid, 1,3-diphenyl ester",744-45-6,744456,CASRN,"231,595","229,280","183,424","275,136"
"1,3-Benzenedicarboxylic acid, 5-sulfo-",22326-31-4,22326314,CASRN,"<50,000","50,000 – <250,000","<50,000","50,000 – <250,000"
"1,3-Benzenedicarboxylic acid, 5-sulfo-, lithium salt (1:1)",46728-75-0,46728750,CASRN,"75,000 – <500,000","500,000 – <1,000,000","75,000 – <500,000","75,000 – <500,000"
"1,3-Benzenedicarboxylic acid, 5-sulfo-, sodium salt (1:1)",6362-79-4,6362794,CASRN,"500,000 – <1,000,000","500,000 – <1,000,000","1,000,000 – <8,500,000","1,000,000 – <8,500,000"
"1,3-Benzenedicarboxylic acid, 5-sulfo-, sodium salt, compd. with 1,6-hexanediamine (1:1:?)",133947-67-8,133947678,CASRN,"50,000 – <250,000","50,000 – <250,000","50,000 – <250,000","50,000 – <250,000"
"1,3-Benzenedicarboxylic acid, compd. with 2-methyl-1,5-pentanediamine (1:1)",145153-52-2,145153522,CASRN,"440,016","1,337,039","2,181,582","2,210,404"
"1,3-Benzenedicarboxylic acid, polymer with 1,4-benzenedicarboxylic acid and 2,2-dimethyl-1,3-propanediol",25214-38-4,25214384,CASRN,"86,500","78,563","80,865","29,577"
"1,3-Benzenedicarboxylic acid, polymer with 1,4-benzenedicarboxylic acid, 2,2-dimethyl-1,3-propanediol and 1,2-ethanediol",27923-68-8,27923688,CASRN,"4,059","27,012","20,591","10,626"
"1,3-Benzenedicarboxylic acid, polymer with 2,2-dimethyl-1,3-propanediol",26811-89-2,26811892,CASRN,"49,471","55,353","58,299","30,683"
"1,3-Benzenedicarboxylic acid, sodium salt (1:2)",10027-33-5,10027335,CASRN,"61,000","51,000","43,000","40,000"
"1,3-Benzenedimethanamine",1477-55-0,1477550,CASRN,"1,000,000 – <5,000,000","1,000,000 – <5,000,000","1,000,000 – <5,000,000","1,000,000 – <5,000,000"
"1,3-Benzenedimethanamine, N-(2-phenylethyl) derivs.",404362-22-7,404362227,CASRN,"75,000 – <500,000","297,520","176,320","142,832"
"1,3-Benzenedimethanamine, N1,N1,N3,N3-tetrakis(2-oxiranylmethyl)-",63738-22-7,63738227,CASRN,"<50,000","<50,000","50,000 – <250,000","<50,000"
"1,3-Benzenedimethanamine, reaction products with epichlorohydrin",135470-04-1,135470041,CASRN,"41,876","125,628","72,732","11,020"
"1,3-Benzenediol",108-46-3,108463,CASRN,"10,000,000 – <50,000,000","10,000,000 – <50,000,000","10,000,000 – <50,000,000","10,000,000 – <50,000,000"
"1,3-Benzenediol, 1-benzoate",136-36-7,136367,CASRN,"<50,000","50,000 – <250,000","<50,000","<50,000"
"1,2-Benzenedicarboxylic acid, di-C11-14-branched alkyl esters, C13-rich",68515-47-9,68515479,CASRN,"10,000,000 – <50,000,000","10,000,000 – <50,000,000","10,000,000 – <50,000,000","10,000,000 – <50,000,000"
"1,2-Benzenedicarboxylic acid, di-C6-14-branched and linear alkyl esters",309934-69-8,309934698,CASRN,"1,000,000 – <5,000,000","1,000,000 – <5,000,000","1,000,000 – <5,000,000","1,000,000 – <5,000,000"
"1,2-Benzenedicarboxylic acid, di-C8-10-alkyl esters",71662-46-9,71662469,CASRN,"75,000 – <500,000","<75,000","75,000 – <500,000","75,000 – <500,000"
"1,2-Benzenedicarboxylic acid, di-C8-10-branched alkyl esters, C9-rich",68515-48-0,68515480,CASRN,"100,000,000 – <500,000,000","100,000,000 – <500,000,000","100,000,000 – <500,000,000","100,000,000 – <500,000,000"
"1,2-Benzenedicarboxylic acid, di-C9-11-branched alkyl esters, C10-rich",68515-49-1,68515491,CASRN,"100,000,000 – <500,000,000","100,000,000 – <500,000,000","100,000,000 – <500,000,000","100,000,000 – <500,000,000"
"1,2-Benzenedicarboxylic acid, di-C9-11-branched and linear alkyl esters",68515-43-5,68515435,CASRN,"40,000,000 – <55,000,000","40,000,000 – <55,000,000","25,000,000 – <40,000,000","25,000,000 – <40,000,000"
"1,2-Benzenedicarboxylic acid, mixed cetyl and stearyl esters",68442-70-6,68442706,CASRN,"500,000 – <1,000,000","1,000,000 – <8,500,000","1,000,000 – <8,500,000","500,000 – <1,000,000"
"1,2-Benzenedicarboxylic acid, mixed decyl and hexyl and octyl diesters",68648-93-1,68648931,CASRN,"<50,000","<50,000","<50,000","<50,000"
"1,2-Benzenedicarboxylic acid, sodium salt (1:2)",15968-01-1,15968011,CASRN,"<75,000","<75,000","<75,000","<75,000"
"1,2-Benzenediol",120-80-9,120809,CASRN,"10,000,000 – <50,000,000","10,000,000 – <50,000,000","10,000,000 – <50,000,000","10,000,000 – <50,000,000"
"1,2-Benzenediol, 4-(1,1-dimethylethyl)-",98-29-3,98293,CASRN,"1,000,000 – <2,500,000","1,000,000 – <2,500,000","1,000,000 – <2,500,000","50,000,000 – <100,000,000"
"1,2-Benzisothiazol-3(2H)-one",2634-33-5,2634335,CASRN,"50,000 – <250,000","50,000 – <250,000","<50,000","<50,000"
"1,2-Benzisothiazol-3(2H)-one, 1,1-dioxide",81-07-2,81072,CASRN,"2,740,100","1,020,000","239,000","111,000"
"1,2-Benzisothiazol-3(2H)-one, 1,1-dioxide, sodium salt (1:1)",128-44-9,128449,CASRN,"50,000 – <75,000","50,000 – <75,000","50,000 – <250,000","100,000 – <250,000"
"1,2-Butadiene",590-19-2,590192,CASRN,"850,000 – <1,000,000","550,000 – <700,000","10,000,000 – <50,000,000","250,000 – <400,000"
"1,2-Butanediol",584-03-2,584032,CASRN,"250,000 – <550,000","100,000 – <250,000","550,000 – <1,000,000","100,000 – <250,000"
"1,2-Ethanediamine, N1-(2-aminoethyl)-",111-40-0,111400,CASRN,"50,000,000 – <100,000,000","50,000,000 – <100,000,000","55,000,000 – <70,000,000","50,000,000 – <100,000,000"
"1,2-Ethanediamine, N1-(2-aminoethyl)-, hydrochloride (1:3)",4109-20-0,4109200,CASRN,"64,236","64,236","64,236","64,236"
"1,2-Ethanediamine, N1-(2-aminoethyl)-, reaction products with epichlorohydrin",72207-68-2,72207682,CASRN,"<50,000","<50,000","<50,000","<50,000"
"1,2-Ethanediamine, N1-(2-aminoethyl)-, reaction products with glycidyl p-tolyl ether",68411-70-1,68411701,CASRN,"50,000 – <250,000","50,000 – <250,000","50,000 – <250,000","50,000 – <250,000"
"1,2-Ethanediamine, N1-(2-aminoethyl)-N2-[2-[(2-aminoethyl)amino]ethyl]-",112-57-2,112572,CASRN,"4,000,000 – <5,500,000","5,500,000 – <7,000,000","5,500,000 – <7,000,000","5,500,000 – <7,000,000"
"1,2-Ethanediamine, N1,N1,N2,N2-tetramethyl-",110-18-9,110189,CASRN,"1,000,000 – <8,500,000","1,000,000 – <8,500,000","1,000,000 – <8,500,000","1,000,000 – <8,500,000"
"1,2-Ethanediamine, N1,N1-diethyl-",100-36-7,100367,CASRN,"219,120","308,000","352,255","308,000"
"1,2-Ethanediamine, N1,N2-bis(1,3-dimethylbutylidene)-",25707-70-4,25707704,CASRN,"250,000 – <550,000","50,000 – <250,000","250,000 – <550,000","50,000 – <250,000"
"1,2-Ethanediamine, N1,N2-bis(2-aminoethyl)-",112-24-3,112243,CASRN,"10,000,000 – <25,000,000","10,000,000 – <25,000,000","10,000,000 – <25,000,000","10,000,000 – <25,000,000"
"1,2-Ethanediamine, N1,N2-bis(2-aminoethyl)-, polymer with N1-(2-aminoethyl)-1,2-ethanediamine, .alpha.-hydro-.omega.-hydroxypoly(oxy-1,2-ethanediyl) and 2,2'-[(1-methylethylidene)bis(4,1-phenyleneoxymethylene)]bis[oxirane], reaction products with glycidyl",1312024-58-0,1312024580,CASRN,"<50,000","<50,000","<50,000","<50,000"
"1,2-Ethanediamine, N1,N2-bis(2-aminoethyl)-, reaction products with Bu glycidyl ether",1246447-59-5,1246447595,CASRN,"190,604","57,488","27,614","35,799"
"1,2-Ethanediamine, N1-[2-(dimethylamino)ethyl]-N1,N2,N2-trimethyl-",3030-47-5,3030475,CASRN,"1,000,000 – <5,000,000","1,000,000 – <2,500,000","2,500,000 – <4,000,000","1,000,000 – <5,000,000"
"1,2-Ethanediamine, N1-[3-(dimethoxymethylsilyl)propyl]-",3069-29-2,3069292,CASRN,"25,000 – <50,000","550,000 – <700,000","250,000 – <400,000","250,000 – <400,000"
"1,2-Ethanediamine, N1-[3-(trimethoxysilyl)propyl]-",1760-24-3,1760243,CASRN,"1,000,000 – <2,500,000","2,500,000 – <4,000,000","2,500,000 – <4,000,000","2,500,000 – <4,000,000"
"1,2-Ethanediamine, N1-[3-(trimethoxysilyl)propyl]-, hydrolysis products with wollastonite (Ca(SiO3))",881692-01-9,881692019,CASRN,"<50,000","<50,000","<50,000","<50,000"
"1,2-Ethanediamine, N1-[3-(trimethoxysilyl)propyl]-, N-[(ethenylphenyl)methyl] derivs., hydrochlorides",171869-89-9,171869899,CASRN,"50,000 – <250,000","550,000 – <1,000,000","550,000 – <1,000,000","250,000 – <550,000"
"1,2-Ethanediamine, N1-[3-(trimethoxysilyl)propyl]-, N-[(ethenylphenyl)methyl] derivs., hydrochlorides, hydrolyzed",171869-90-2,171869902,CASRN,"50,000 – <250,000","50,000 – <250,000","50,000 – <250,000","50,000 – <250,000"
"1,2-Ethanediamine, phosphate (1:?)",14852-17-6,14852176,CASRN,"<50,000","<50,000","<50,000","<50,000"
"1,2-Ethanediamine, polymer with 2-(chloromethyl)oxirane and N-methylmethanamine",42751-79-1,42751791,CASRN,"2,986",0,0,0
"1,2-Ethanediaminium, N1,N2-bis[2-[bis(2-hydroxyethyl)methylammonio]ethyl]-N1,N2-bis(2-hydroxyethyl)-N1,N2-dimethyl-, chloride (1:4)",138879-94-4,138879944,CASRN,"157,545","78,846","226,133","99,018"
"1,2-Ethanediol",107-21-1,107211,CASRN,"15,000,000,000 – <20,000,000,000","10,000,000,000 – <15,000,000,000","10,000,000,000 – <15,000,000,000","10,000,000,000 – <15,000,000,000"
"1,2-Ethanediol, 1,2-diacetate",111-55-7,111557,CASRN,"1,000,000 – <2,500,000","1,000,000 – <2,500,000","1,000,000 – <2,500,000","1,000,000 – <2,500,000"
"1,2-Ethanediol, 1,2-dibenzoate",94-49-5,94495,CASRN,"75,000 – <500,000","75,000 – <500,000","75,000 – <500,000","75,000 – <500,000"
"1,2-Ethanediol, 1,2-diformate",629-15-2,629152,CASRN,"500,000 – <1,000,000","75,000 – <500,000","<75,000","<75,000"
"1,2-Ethanediol, 1,2-dinitrate",628-96-6,628966,CASRN,"1,153,074","1,000,000 – <5,000,000","1,000,000 – <5,000,000","1,000,000 – <5,000,000"
"1,2-Ethanediol, 1-formate",628-35-3,628353,CASRN,"146,723","151,512","87,592","34,277"
"1,2-Hexanediol",6920-22-5,6920225,CASRN,"100,000 – <250,000","100,000 – <250,000","100,000 – <250,000","75,000 – <100,000"
"1,2-Octanediol",1117-86-8,1117868,CASRN,"75,000 – <500,000","75,000 – <500,000","<75,000","<75,000"
"1,2-Oxathiane, 2,2-dioxide",1633-83-6,1633836,CASRN,"<50,000","50,000 – <250,000","50,000 – <250,000","50,000 – <250,000"
"1,2-Oxathiolane, 2,2-dioxide",1120-71-4,1120714,CASRN,"100,000 – <250,000","100,000 – <250,000","<25,000","<25,000"
"1,2-Pentanediol",5343-92-0,5343920,CASRN,"550,000 – <1,000,000","550,000 – <1,000,000","550,000 – <1,000,000","550,000 – <1,000,000"
"1,2-Propadiene",463-49-0,463490,CASRN,"500,000 – <1,000,000","500,000 – <1,000,000","500,000 – <1,000,000","500,000 – <1,000,000"
"1,2-Propanediol",57-55-6,57556,CASRN,"1,000,000,000 – <2,500,000,000","1,000,000,000 – <2,500,000,000","1,000,000,000 – <2,500,000,000","1,000,000,000 – <2,500,000,000"
"1,2-Propanediol, 1,2-diacetate",623-84-7,623847,CASRN,"<75,000","<75,000","<75,000","<75,000"
"1,2-Propanediol, 1,2-dibenzoate",19224-26-1,19224261,CASRN,"1,000,000 – <2,500,000","2,500,000 – <4,000,000","2,500,000 – <4,000,000","2,500,000 – <4,000,000"
"1,2-Propanediol, 3-(2-propen-1-yloxy)-",123-34-2,123342,CASRN,"<50,000","50,000 – <250,000","<50,000","<50,000"
"1,2-Propanediol, 3-[[5-methyl-2-(1-methylethyl)cyclohexyl]oxy]-",87061-04-9,87061049,CASRN,"10,317","44,048","65,389","24,537"
"1,2-Propanediol, 3-amino-, N,N-dicoco alkyl derivs.",897393-64-5,897393645,CASRN,"75,000 – <500,000","75,000 – <500,000","75,000 – <500,000","75,000 – <500,000"
"1,2-Propanediol, 3-chloro-",96-24-2,96242,CASRN,"278,567","1,027,458","923,111","740,397"
"1,2-Propanediol, 3-chloro-, phosphate",56729-01-2,56729012,CASRN,"20,976","91,555","122,743","107,749"
"1,2-Propanediol, 3-mercapto-",96-27-5,96275,CASRN,"51,570","73,932","98,857","92,292"
"1,2-Propanediol, monocarbamate",69493-47-6,69493476,CASRN,"116,894","47,398","81,402","124,950"
"1,3,2-Dioxaphosphorinane, 5,5-dimethyl-2-phenoxy-",8/7/3057,3057087,CASRN,"<50,000","<50,000","<50,000","<50,000"
"1,3,4-Thiadiazole, 2-(methylsulfonyl)-5-(trifluoromethyl)-",27603-25-4,27603254,CASRN,"1,000,000 – <5,000,000","1,000,000 – <5,000,000","1,000,000 – <5,000,000","1,000,000 – <5,000,000"
"1,3,4-Thiadiazole, 2-(methylthio)-5-(trifluoromethyl)-",32539-16-5,32539165,CASRN,"1,000,000 – <5,000,000","1,000,000 – <5,000,000","1,000,000 – <5,000,000","1,000,000 – <5,000,000"
"1,3,4-Thiadiazole, 2,5-bis(octyldithio)-",13539-13-4,13539134,CASRN,"652,617","716,830","736,728","812,228"
"1,3,4-Thiadiazole, 2,5-bis(tert-dodecyldithio)-",59656-20-1,59656201,CASRN,"<75,000","75,000 – <500,000","<75,000","<75,000"
"1,3,4-Thiadiazole, 2,5-bis(tert-nonyldithio)-",89347-09-1,89347091,CASRN,"4,000,000 – <5,500,000","5,500,000 – <7,000,000","5,500,000 – <7,000,000","5,500,000 – <7,000,000"
"1,3,4-Thiadiazole-2(3H)-thione, 5-(tert-dodecyldithio)-",73984-93-7,73984937,CASRN,"50,000 – <250,000","50,000 – <250,000","250,000 – <550,000","50,000 – <250,000"
"1,3,4-Thiadiazole-2(3H)-thione, 5-(tert-nonyldithio)-",97503-12-3,97503123,CASRN,"1,000,000 – <2,500,000","1,000,000 – <2,500,000","1,000,000 – <2,500,000","1,000,000 – <2,500,000"
"1,3,4-Thiadiazole-2(3H)-thione, 5,5'-dithiobis-",72676-55-2,72676552,CASRN,"500,000 – <1,000,000","500,000 – <1,000,000","500,000 – <1,000,000","500,000 – <1,000,000"
"1,3,4-Thiadiazole-2(3H)-thione, 5,5'-thiobis-",7340-97-8,7340978,CASRN,"<50,000","<50,000","<50,000","<50,000"
"1,3,4-Thiadiazolidine-2,5-dithione",1072-71-5,1072715,CASRN,"550,000 – <700,000","250,000 – <550,000","700,000 – <850,000","250,000 – <550,000"
"1,3,4-Thiadiazolidine-2,5-dithione, sodium salt (1:1)",50530-45-5,50530455,CASRN,"50,000 – <250,000","50,000 – <250,000","50,000 – <250,000","50,000 – <250,000"
"1,3,4-Thiadiazolidine-2,5-dithione, sodium salt (1:2)",55906-42-8,55906428,CASRN,"50,000 – <250,000","50,000 – <250,000","50,000 – <250,000","50,000 – <250,000"
"1,3,5,7-Tetraazabicyclo[3.3.1]nonane, 3,7-dinitroso-",101-25-7,101257,CASRN,"<50,000","<50,000","<50,000","<50,000"
"1,3,5,7-Tetraazatricyclo[3.3.1.13,7]decane",100-97-0,100970,CASRN,"25,000,000 – <40,000,000","25,000,000 – <40,000,000","55,000,000 – <70,000,000","55,000,000 – <70,000,000"
"1,3,5,7-Tetrazocine, octahydro-1,3,5,7-tetranitro-",2691-41-0,2691410,CASRN,"1,000,000 – <8,500,000","1,000,000 – <8,500,000","1,000,000 – <8,500,000","1,000,000 – <8,500,000"
"1,3,5-Benzenetriamine, 2,4,6-trinitro-",3058-38-6,3058386,CASRN,"<50,000","<50,000","<50,000","<50,000"
"1,3,5-Benzenetricarbonyl trichloride",4422-95-1,4422951,CASRN,"26,999","28,004","16,743","12,670"
"1,3,5-Benzenetricarboxylic acid",554-95-0,554950,CASRN,"44,092","44,092","22,046","11,023"
"1,3,5-Trialkyl triazine (PROVISIONAL)",242570,242570,Accession Number,"<50,000","<50,000","50,000 – <250,000","<50,000"
"1,3,5-Triazin-2(1H)-one, 4,6-dichloro-, sodium salt (1:1)",2736-18-7,2736187,CASRN,0,"5,300","28,000","19,000"
"1,3,5-Triazin-2(1H)-one, tetrahydro-",7098-14-8,7098148,CASRN,"10,000,000 – <50,000,000","10,000,000 – <50,000,000","10,000,000 – <50,000,000","10,000,000 – <50,000,000"
"1,3,5-Triazin-2-amine, 4-methoxy-6-methyl-",1668-54-8,1668548,CASRN,"250,000 – <550,000","250,000 – <550,000","250,000 – <550,000","250,000 – <550,000"
"1,3,5-Triazin-2-amine, 4-methoxy-N,6-dimethyl-",5248-39-5,5248395,CASRN,"50,000 – <250,000","50,000 – <250,000","250,000 – <550,000","50,000 – <250,000"
"1,3,5-Triazine, 2,4,6-trichloro-",108-77-0,108770,CASRN,"100,000,000 – <500,000,000","100,000,000 – <500,000,000","100,000,000 – <500,000,000","100,000,000 – <500,000,000"
"1,3,5-Triazine, 2,4,6-tris(2,4,6-tribromophenoxy)-",25713-60-4,25713604,CASRN,"75,000 – <500,000","500,000 – <1,000,000","75,000 – <500,000","<75,000"
"1,3,5-Triazine, 2,4,6-tris(2-propen-1-yloxy)-",101-37-1,101371,CASRN,"250,000 – <400,000","250,000 – <400,000","250,000 – <400,000","250,000 – <400,000"
"1,3,5-Triazine, hexahydro-1,3,5-trimethyl-",108-74-7,108747,CASRN,"4,000,000 – <5,500,000","2,500,000 – <4,000,000","5,500,000 – <7,000,000","7,000,000 – <8,500,000"
"1,3,5-Triazine, hexahydro-1,3,5-trinitro-",121-82-4,121824,CASRN,"7,000,000 – <8,500,000","5,500,000 – <7,000,000","7,000,000 – <8,500,000","5,500,000 – <7,000,000"
"1,3,5-Triazine, hexahydro-1,3,5-tris(3-methoxypropyl)-",5/2/3960,3960052,CASRN,"365,441","818,354","210,000","120,000"
"1,3,5-Triazine-1,3,5(2H,4H,6H)-triethanol",4/4/4719,4719044,CASRN,"85,000,000 – <100,000,000","100,000,000 – <250,000,000","100,000,000 – <250,000,000","85,000,000 – <100,000,000"
"1,3,5-Triazine-1,3,5(2H,4H,6H)-tripropanamine, N1,N1,N3,N3,N5,N5-hexamethyl-",15875-13-5,15875135,CASRN,"1,000,000 – <5,000,000","1,000,000 – <5,000,000","1,000,000 – <5,000,000","1,000,000 – <5,000,000"
"1,3,5-Triazine-2,4,6(1H,3H,5H)-trione",108-80-5,108805,CASRN,"100,000,000 – <250,000,000","100,000,000 – <250,000,000","100,000,000 – <250,000,000","100,000,000 – <250,000,000"
